Year,Value,Units,Series
2010,52.917,Микрограммы на кубический метр [мкг/м3],Вся территория
2011,56.662,Микрограммы на кубический метр [мкг/м3],Вся территория
2012,52.872,Микрограммы на кубический метр [мкг/м3],Вся территория
2013,47.439,Микрограммы на кубический метр [мкг/м3],Вся территория
2014,42.963,Микрограммы на кубический метр [мкг/м3],Вся территория
2015,47.511,Микрограммы на кубический метр [мкг/м3],Вся территория
2016,41.97,Микрограммы на кубический метр [мкг/м3],Вся территория
2017,39.128,Микрограммы на кубический метр [мкг/м3],Вся территория
2018,38.466,Микрограммы на кубический метр [мкг/м3],Вся территория
2019,40.66,Микрограммы на кубический метр [мкг/м3],Вся территория
2020,35.253,Микрограммы на кубический метр [мкг/м3],Вся территория
2021,37.388,Микрограммы на кубический метр [мкг/м3],Вся территория
2022,34.045,Микрограммы на кубический метр [мкг/м3],Вся территория
2023,30.108,Микрограммы на кубический метр [мкг/м3],Вся территория
2010,60.099,Микрограммы на кубический метр [мкг/м3],Город
2011,64.869,Микрограммы на кубический метр [мкг/м3],Город
2012,60.722,Микрограммы на кубический метр [мкг/м3],Город
2013,54.279,Микрограммы на кубический метр [мкг/м3],Город
2014,49.207,Микрограммы на кубический метр [мкг/м3],Город
2015,54.62,Микрограммы на кубический метр [мкг/м3],Город
2016,47.845,Микрограммы на кубический метр [мкг/м3],Город
2017,45.017,Микрограммы на кубический метр [мкг/м3],Город
2018,44.307,Микрограммы на кубический метр [мкг/м3],Город
2019,46.7,Микрограммы на кубический метр [мкг/м3],Город
2020,40.957,Микрограммы на кубический метр [мкг/м3],Город
2021,42.816,Микрограммы на кубический метр [мкг/м3],Город
2022,39.399,Микрограммы на кубический метр [мкг/м3],Город
2023,34.882,Микрограммы на кубический метр [мкг/м3],Город
2010,35.842,Микрограммы на кубический метр [мкг/м3],село
2011,38.565,Микрограммы на кубический метр [мкг/м3],село
2012,35.92,Микрограммы на кубический метр [мкг/м3],село
2013,32.191,Микрограммы на кубический метр [мкг/м3],село
2014,29.167,Микрограммы на кубический метр [мкг/м3],село
2015,32.324,Микрограммы на кубический метр [мкг/м3],село
2016,28.575,Микрограммы на кубический метр [мкг/м3],село
2017,26.728,Микрограммы на кубический метр [мкг/м3],село
2018,26.206,Микрограммы на кубический метр [мкг/м3],село
2019,27.925,Микрограммы на кубический метр [мкг/м3],село
2020,24.179,Микрограммы на кубический метр [мкг/м3],село
2021,25.602,Микрограммы на кубический метр [мкг/м3],село
2022,23.45,Микрограммы на кубический метр [мкг/м3],село
2023,20.842,Микрограммы на кубический метр [мкг/м3],село
2010,48.344,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2011,51.621,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2012,48.41,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2013,43.399,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2014,39.414,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2015,43.547,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2016,38.626,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2017,36.234,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2018,35.421,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2019,37.785,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2020,32.739,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2021,34.722,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2022,31.62,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2023,28.117,Микрограммы на кубический метр [мкг/м3],Малый город и полуплотно населённая
2010,55.163,Микрограммы на кубический метр [мкг/м3],город
2011,59.205,Микрограммы на кубический метр [мкг/м3],город
2012,55.482,Микрограммы на кубический метр [мкг/м3],город
2013,49.482,Микрограммы на кубический метр [мкг/м3],город
2014,44.765,Микрограммы на кубический метр [мкг/м3],город
2015,49.419,Микрограммы на кубический метр [мкг/м3],город
2016,43.599,Микрограммы на кубический метр [мкг/м3],город
2017,41.063,Микрограммы на кубический метр [мкг/м3],город
2018,40.152,Микрограммы на кубический метр [мкг/м3],город
2019,42.462,Микрограммы на кубический метр [мкг/м3],город
2020,36.771,Микрограммы на кубический метр [мкг/м3],город
2021,39.064,Микрограммы на кубический метр [мкг/м3],город
2022,35.483,Микрограммы на кубический метр [мкг/м3],город
2023,31.531,Микрограммы на кубический метр [мкг/м3],город
