Year,Value,Units
2015,2.3544,млн. долл. США
2016,146.4142,млн. долл. США
2017,25.0052,млн. долл. США
2018,30.9129,млн. долл. США
2019,59.5674,млн. долл. США
2020,3.1521,млн. долл. США
2021,30.3691,млн. долл. США
2022,6.8295,млн. долл. США
2023,6.8261,млн. долл. США
