Year,Value,Units
2015,864.0,человек
2016,810.0,человек
2017,824.0,человек
2018,784.0,человек
2019,764.0,человек
2020,751.0,человек
2021,740.0,человек
2022,746.0,человек
2023,668.0,человек
2024,706.0,%
