Year,Value,Units
2015,469.0,человек
2016,478.0,человек
2017,474.0,человек
2018,363.0,человек
2019,351.0,человек
2020,367.0,человек
2021,499.0,человек
2022,528.0,человек
2023,492.0,человек
2023,5.77,%
2024,218.0,%
2024,3.36,%
