Year,Value,Units,Series
2015,57.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2016,55.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2017,52.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2018,50.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2019,,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2020,59.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2021,,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2022,60.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2023,,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
2024,63.0,Индекс от 0 до 100,Реестр открытых данных (ODIN) Индекс охвата
