Year,Value,Units,Series
2015,47.3,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2016,52.2,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2017,72.5,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2018,69.7,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2019,49.0,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2020,23.3,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2021,26.5,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2022,13.0,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2023,28.8,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2024,30.2,%,"Доля недостаточно очищенных сточных вод в общем объеме сточных вод, требующих очистки"
2020,777.1,million m3/year,Общий объем образующихся сточных вод
2021,802.6,million m3/year,Общий объем образующихся сточных вод
2022,888.3,million m3/year,Общий объем образующихся сточных вод
2023,721.9,million m3/year,Общий объем образующихся сточных вод
2024,815.2,million m3/year,Общий объем образующихся сточных вод
