Year,Value,Units
2015,429.11,ватт
2016,439.29,ватт
2017,447.76,ватт
2018,457.15,ватт
2019,468.22,ватт
2020,488.89,ватт
2021,518.09,ватт
2022,593.52,ватт
2023,620.46,ватт
2024,674.06,ватт
