Year,Units,Սեռ,Value
2007,%,,27.0
2007,%,տղամարդ,54.7
2007,%,կին,1.6
2009,%,,26.8
2009,%,տղամարդ,52.0
2009,%,կին,1.5
2015,%,,31.3
2015,%,տղամարդ,61.4
2015,%,կին,1.2
2016,%,,26.2
2016,%,տղամարդ,53.4
2016,%,կին,2.3
2022,%,,25.2
2022,%,տղամարդ,53.2
2022,%,կին,2.0
