Year,Units,Категория,Value
2015,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.1
2016,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.2
2017,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.2
2018,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.2
2019,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.1
2020,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.07
2015,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,6.2
2016,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,5.9
2017,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,5.8
2018,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,5.9
2019,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,5.8
2020,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,5.7
2015,%,равно или больше скорости 10 Мбит/с,3.2
2016,%,равно или больше скорости 10 Мбит/с,3.9
2017,%,равно или больше скорости 10 Мбит/с,4.6
2018,%,равно или больше скорости 10 Мбит/с,5.6
2019,%,равно или больше скорости 10 Мбит/с,7.1
2020,%,равно или больше скорости 10 Мбит/с,8.76
2021,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.04
2021,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,4.59
2021,%,равно или больше скорости 10 Мбит/с,11.12
2022,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.02
2022,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,3.01
2022,%,равно или больше скорости 10 Мбит/с,14.18
2023,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.01
2023,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,2.42
2023,%,равно или больше скорости 10 Мбит/с,15.98
2024,%,равно или больше скорости 256 Кбит/с и менее 2 Мбит/с,0.008
2024,%,равно или больше скорости 2 Мбит/с и менее 10 Мбит/с,1.73
2024,%,равно или больше скорости 10 Мбит/с,18.16
