Year,Units,Series,Value
2015,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),156.9572
2016,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),169.5493
2017,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),156.4766
2018,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),155.7375
2019,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),97.298
2020,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),73.7195
2021,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),67.8244
2022,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),38.3241
2023,millions of 2023 United States dollars,Total official development assistance (gross disbursement) for technical cooperation (millions of 2023 United States dollars),155.3528
