Year,Group,Units,Value
2015,A,,1.0
2015,B,,3.0
2015,,,2.0
2016,A,,1.0
2016,B,,3.0
2016,,,2.0
2020,,%,67.8
2021,,%,70.0
2022,,%,64.2
2023,,%,68.3
