Year,Units,Value
2015,"yes=1, no=0",1
2016,"yes=1, no=0",1
2017,"yes=1, no=0",1
2018,"yes=1, no=0",1
2019,"yes=1, no=0",1
2020,"yes=1, no=0",1
2021,"yes=1, no=0",1
2022,"yes=1, no=0",1
2023,"yes=1, no=0",1
2024,"yes=1, no=0",1
