Year,Units,Value
2015,մոլ- H - իոն/լիտր,8.65
2016,մոլ- H - իոն/լիտր,8.49
2017,մոլ- H - իոն/լիտր,8.77
2018,մոլ- H - իոն/լիտր,8.74
2019,մոլ- H - իոն/լիտր,8.54
2020,մոլ- H - իոն/լիտր,8.74
2021,մոլ- H - իոն/լիտր,8.48
2022,մոլ- H - իոն/լիտր,8.47
2023,մոլ- H - իոն/լիտր,8.62
2024,մոլ- H - իոն/լիտր,8.71
