Year,Group,Value
2019,նախադպրոցական,75.9
2020,նախադպրոցական,75.1
2021,նախադպրոցական,74.7
2022,նախադպրոցական,72.9
2023,նախադպրոցական,74.3
2019,տարրական,73.6
2020,տարրական,75.1
2021,տարրական,73.9
2022,տարրական,81.3
2023,տարրական,84.1
2019,հիմնական,73.6
2020,հիմնական,75.1
2021,հիմնական,73.8
2022,հիմնական,81.3
2023,հիմնական,84.1
2019,ավագ,75.4
2020,ավագ,77.1
2021,ավագ,76.0
2022,ավագ,83.0
2023,ավագ,85.8
