Year,Units,Value
2015,"на 100,000 населения",1.4
2016,"на 100,000 населения",1.3
2017,"на 100,000 населения",1.4
2018,"на 100,000 населения",1.0
2019,"на 100,000 населения",1.6
2020,"на 100,000 населения",2.0
2021,"на 100,000 населения",1.0
2022,"на 100,000 населения",0.9
2023,"на 100,000 населения",0.8
2024,"на 100,000 населения",0.6
