Year,Units,Value
2015,"100,000 բնակչի հաշվով",1.4
2016,"100,000 բնակչի հաշվով",1.3
2017,"100,000 բնակչի հաշվով",1.4
2018,"100,000 բնակչի հաշվով",1.0
2019,"100,000 բնակչի հաշվով",1.6
2020,"100,000 բնակչի հաշվով",2.0
2021,"100,000 բնակչի հաշվով",1.0
2022,"100,000 բնակչի հաշվով",0.9
2023,"100,000 բնակչի հաշվով",0.8
2024,"100,000 բնակչի հաշվով",0.6
