Year,Units,Value
2015,"100,000  բնակչի հաշվով",28.0
2016,"100,000  բնակչի հաշվով",27.1
2017,"100,000  բնակչի հաշվով",23.0
2018,"100,000  բնակչի հաշվով",21.0
2019,"100,000  բնակչի հաշվով",18.3
2020,"100,000  բնակչի հաշվով",12.6
