Year,Units,Value
2015,mole - H - ion/liter,8.65
2016,mole - H - ion/liter,8.49
2017,mole - H - ion/liter,8.77
2018,mole - H - ion/liter,8.74
2019,mole - H - ion/liter,8.54
2020,mole - H - ion/liter,8.74
2021,mole - H - ion/liter,8.48
2022,mole - H - ion/liter,8.47
2023,mole - H - ion/liter,8.62
2024,mole - H - ion/liter,8.71
