Year,Units,Սեռ,Value
2015,մարդ,,45.0
2016,մարդ,,59.0
2017,մարդ,,57.0
2018,մարդ,,42.0
2019,մարդ,,27.0
2020,մարդ,,24.0
2015,մարդ,տղամարդ,38.0
2016,մարդ,տղամարդ,53.0
2017,մարդ,տղամարդ,56.0
2018,մարդ,տղամարդ,39.0
2019,մարդ,տղամարդ,25.0
2020,մարդ,տղամարդ,21.0
2015,մարդ,կին,7.0
2016,մարդ,կին,6.0
2017,մարդ,կին,1.0
2018,մարդ,կին,3.0
2019,մարդ,կին,2.0
2020,մարդ,կին,3.0
2021,մարդ,,19.0
2021,մարդ,տղամարդ,19.0
2021,մարդ,կին,
2022,մարդ,,21.0
2022,մարդ,տղամարդ,16.0
2022,մարդ,կին,5.0
2023,մարդ,,19.0
2023,մարդ,տղամարդ,18.0
2023,մարդ,կին,1.0
2024,մարդ,,30.0
2024,մարդ,տղամարդ,25.0
2024,մարդ,կին,5.0
