Year,Units,Գտնվելու վայրը,Value
2015,%,,58.8
2016,%,,57.1
2017,%,,57.0
2018,%,,59.3
2019,%,,69.2
2020,%,,73.3
2015,%,քաղաք,82.5
2016,%,քաղաք,81.3
2017,%,քաղաք,84.0
2018,%,քաղաք,85.1
2019,%,քաղաք,92.9
2020,%,քաղաք,94.8
2015,%,գյուղ,15.5
2016,%,գյուղ,13.3
2017,%,գյուղ,14.5
2018,%,գյուղ,17.2
2019,%,գյուղ,31.5
2020,%,գյուղ,42.7
