Year,Խումբ,Units,Value
2021,Ազգային մակարդակով սահմանված գործողություններ,"այո=1, ոչ=0",1
2021,Հարմարվողականության ազգային ծրագիր,"այո=1, ոչ=0",1
2023,Երկարաժամկետ ռազմավարություն,"այո=1, ոչ=0",1
2020,Ազգային հաղորդագրություն,"այո=1, ոչ=0",1
2023,Ջերմոցային գազերի ազգային կադաստրի հաշվետվություն,"այո=1, ոչ=0",1
2025,1990-2022թթ. ՀՀ ջերմոցային գազերի ազգային կադաստրի գույքագրման փաստաթուղթ (NID),"այո=1, ոչ=0",1
