Year,Conventions (dates and places of adoption),Units,Value
1997,"Конвенция ЕЭК ООН о трансграничном загрязнении воздуха на большие расстояния (Женева, 1979 г.)","да=1, нет=0",1
1997,"Конвенция ЕЭК ООН о трансграничном воздействии промышленных аварий (Хельсинки, 1992 г.)","да=1, нет=0",1
1999,"Конвенция о контроле за трансграничной перевозкой опасных отходов и их удалением (Базель, 1989 г.)","да=1, нет=0",1
1999,"Конвенция об охране озонового слоя (Вена, 1985 г.)","да=1, нет=0",1
2003,"Конвенция о процедуре предварительного обоснованного согласия в отношении отдельных опасных химических веществ и пестицидов в международной торговле (Роттердам, 1998 г.)","да=1, нет=0",1
2003,"Стокгольмская конвенция о стойких органических загрязнителях (Стокгольм, 2001 г.)","да=1, нет=0",1
2017,"Минаматская конвенция о ртути (Кумамото, 2013)","да=1, нет=0",1
