Year,Units,Value
2015,"на 100,000 живорожденных",19.7
2016,"на 100,000 живорожденных",22.3
2017,"на 100,000 живорожденных",18.3
2018,"на 100,000 живорожденных",20.0
2019,"на 100,000 живорожденных",20.8
2020,"на 100,000 живорожденных",25.7
2021,"на 100,000 живорожденных",33.0
2022,"на 100,000 живорожденных",29.3
2023,"на 100,000 живорожденных",25.6
2024,"на 100,000 живорожденных",17.8
