From,To
Regulatory capital to risk-weighted assets,Tier 1 capital to risk-weighted assets
Tier 1 capital to risk-weighted assets,Return on assets
Liquid assets to short-term liabilities,Common Equity Tier 1 capital to risk-weighted assets
Return on assets,Return on equity
Return on equity,Liquid assets to total assets
Liquid assets to total assets,Liquid assets to short-term liabilities
