Year,Units,Sector,Value
2017,%,SDG 6.5.1,36
2017,%,Institutions and participation,40
2017,%,Management instruments,28
2017,%,Financing,34
2017,%,Enabling environment,42
2020,%,SDG 6.5.1,52
2020,%,Institutions and participation,46
2020,%,Management instruments,47
2020,%,Financing,54
2020,%,Enabling environment,61
2023,%,SDG 6.5.1,46
2023,%,Institutions and participation,43
2023,%,Management instruments,46
2023,%,Financing,44
2023,%,Enabling environment,50
