Year,Units,membership,Value
2015,%,UNCLOS,100
2016,%,UNCLOS,100
2017,%,UNCLOS,100
2018,%,UNCLOS,100
2019,%,UNCLOS,100
2020,%,UNCLOS,100
2021,%,UNCLOS,100
2022,%,UNCLOS,100
2015,%,Part_XI,100
2016,%,Part_XI,100
2017,%,Part_XI,100
2018,%,Part_XI,100
2019,%,Part_XI,100
2020,%,Part_XI,100
2021,%,Part_XI,100
2022,%,Part_XI,100
