Year,Индикатор,Units,Value
2015,,на миллион населения,1283.4
2016,,на миллион населения,1230.5
2017,,на миллион населения,1204.3
2018,,на миллион населения,1139.8
2019,,на миллион населения,1134.9
2020,,на миллион населения,1177.8
2021,,на миллион населения,1257.8
2022,,на миллион населения,1267.0
2023,,на миллион населения,1263.0
2024,,на миллион населения,1078.6
