Year,Units,Կատեգորիա,Տրանսպորտի տեսակ,Value
2015,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,6864.9
2016,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,16248.8
2017,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,23683.9
2018,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,24519.0
2019,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,9661.7
2020,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,9801.3
2015,"1,000 տոննա",,օդային տրանսպորտ,10.2
2016,"1,000 տոննա",,օդային տրանսպորտ,18.3
2017,"1,000 տոննա",,օդային տրանսպորտ,22.4
2018,"1,000 տոննա",,օդային տրանսպորտ,18.1
2019,"1,000 տոննա",,օդային տրանսպորտ,20.7
2020,"1,000 տոննա",,օդային տրանսպորտ,16.0
2015,"1,000 տոննա",,խողովակաշարային,1645.8
2016,"1,000 տոննա",,խողովակաշարային,1605.8
2017,"1,000 տոննա",,խողովակաշարային,1786.8
2018,"1,000 տոննա",,խողովակաշարային,1765.5
2019,"1,000 տոննա",,խողովակաշարային,1837.3
2020,"1,000 տոննա",,խողովակաշարային,1870.9
2021,"1,000 մարդ",ուղևորների ծավալը՝,,107650.2
2021,"1,000 մարդ",,երկաթուղային տրանսպորտ,434.7
2021,"1,000 մարդ",,ավտոմոբիլային տրանսպորտ,82072.4
2021,"1,000 մարդ",,որից՝ մարդատար տաքսի,2010.4
2021,"1,000 մարդ",,օդային տրանսպորտ,2400.3
2021,"1,000 մարդ",,էլեկտրատրանսպորտ,22742.8
2021,"1,000 տոննա",բեռների ծավալները՝,,17243.0
2021,"1,000 տոննա",,երկաթուղային տրանսպորտ,3124.7
2021,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,12067.2
2021,"1,000 տոննա",,օդային տրանսպորտ,17.3
2021,"1,000 տոննա",,խողովակաշարային,2033.8
2022,"1,000 մարդ",ուղևորների ծավալը՝,,159096.2
2022,"1,000 մարդ",,երկաթուղային տրանսպորտ,500.9
2022,"1,000 մարդ",,ավտոմոբիլային տրանսպորտ,126823.2
2022,"1,000 մարդ",,որից՝ մարդատար տաքսի,1571.2
2022,"1,000 մարդ",,օդային տրանսպորտ,3698.3
2022,"1,000 մարդ",,էլեկտրատրանսպորտ,28073.8
2022,"1,000 տոննա",բեռների ծավալները՝,,18895.7
2022,"1,000 տոննա",,երկաթուղային տրանսպորտ,3509.1
2022,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,13239.0
2022,"1,000 տոննա",,օդային տրանսպորտ,23.3
2022,"1,000 տոննա",,խողովակաշարային,2124.3
2023,"1,000 մարդ",ուղևորների ծավալը՝,,191899.3
2023,"1,000 մարդ",,երկաթուղային տրանսպորտ,538.3
2023,"1,000 մարդ",,ավտոմոբիլային տրանսպորտ,153773.0
2023,"1,000 մարդ",,որից՝ մարդատար տաքսի,1363.2
2023,"1,000 մարդ",,օդային տրանսպորտ,5416.0
2023,"1,000 մարդ",,էլեկտրատրանսպորտ,32172.0
2023,"1,000 տոննա",բեռների ծավալները՝,,18483.0
2023,"1,000 տոննա",,երկաթուղային տրանսպորտ,2103.3
2023,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,14393.4
2023,"1,000 տոննա",,օդային տրանսպորտ,33.9
2023,"1,000 տոննա",,խողովակաշարային,1952.4
2024,"1,000 մարդ",ուղևորների ծավալը՝,,225094.0
2024,"1,000 մարդ",,երկաթուղային տրանսպորտ,563.6
2024,"1,000 մարդ",,ավտոմոբիլային տրանսպորտ,183710.9
2024,"1,000 մարդ",,of which  passenger taxi,1015.2
2024,"1,000 մարդ",,օդային տրանսպորտ,5352.9
2024,"1,000 մարդ",,էլեկտրատրանսպորտ,35426.4
2024,"1,000 տոննա",բեռների ծավալները՝,,16831.5
2024,"1,000 տոննա",,երկաթուղային տրանսպորտ,1442.5
2024,"1,000 տոննա",,ավտոմոբիլային տրանսպորտ,13389.6
2024,"1,000 տոննա",,օդային տրանսպորտ,42.2
2024,"1,000 տոննա",,խողովակաշարային,1957.2
