Year,Units,Սեռ,Տարիք,Value
2016,մարդ,տղամարդ,16-17 տարեկան,1
2017,մարդ,տղամարդ,16-17 տարեկան,2
2018,մարդ,տղամարդ,16-17 տարեկան,1
2019,մարդ,տղամարդ,16-17 տարեկան,1
2020,մարդ,տղամարդ,16-17 տարեկան,0
2015,մարդ,կին,16-17 տարեկան,2
2016,մարդ,կին,16-17 տարեկան,3
2017,մարդ,կին,16-17 տարեկան,1
2018,մարդ,կին,16-17 տարեկան,2
2019,մարդ,կին,16-17 տարեկան,0
2020,մարդ,կին,16-17 տարեկան,0
2021,մարդ,,,17
2021,մարդ,տղամարդ,,8
2021,մարդ,կին,,9
2021,մարդ,,մինչև 6 ամսական,0
2021,մարդ,տղամարդ,մինչև 6 ամսական,0
2021,մարդ,կին,մինչև 6 ամսական,0
2021,մարդ,,6 ամսականից մինչև 1 տարեկան,2
2021,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,1
2021,մարդ,կին,6 ամսականից մինչև 1 տարեկան,1
2021,մարդ,,1-5 տարեկան,11
2021,մարդ,տղամարդ,1-5 տարեկան,5
2021,մարդ,կին,1-5 տարեկան,6
2021,մարդ,,6-9 տարեկան,2
2021,մարդ,տղամարդ,6-9 տարեկան,1
2021,մարդ,կին,6-9 տարեկան,1
2021,մարդ,,10-15 տարեկան,1
2021,մարդ,տղամարդ,10-15 տարեկան,1
2021,մարդ,կին,10-15 տարեկան,0
2021,մարդ,,16-17 տարեկան,1
2021,մարդ,տղամարդ,16-17 տարեկան,0
2021,մարդ,կին,16-17 տարեկան,1
2022,մարդ,,,12
2022,մարդ,տղամարդ,,4
2022,մարդ,կին,,8
2022,մարդ,,մինչև 6 ամսական,0
20222,մարդ,տղամարդ,մինչև 6 ամսական,0
2022,մարդ,կին,մինչև 6 ամսական,0
2022,մարդ,,6 ամսականից մինչև 1 տարեկան,2
2022,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,0
2022,մարդ,կին,6 ամսականից մինչև 1 տարեկան,2
2022,մարդ,,1-5 տարեկան,8
2022,մարդ,տղամարդ,1-5 տարեկան,3
2022,մարդ,կին,1-5 տարեկան,5
2022,մարդ,,6-9 տարեկան,1
2022,մարդ,տղամարդ,6-9 տարեկան,0
2022,մարդ,կին,6-9 տարեկան,1
2022,մարդ,,10-15 տարեկան,0
2022,մարդ,տղամարդ,10-15 տարեկան,0
2022,մարդ,կին,10-15 տարեկան,0
2022,մարդ,,16-17 տարեկան,1
2022,մարդ,տղամարդ,16-17 տարեկան,1
2022,մարդ,կին,16-17 տարեկան,0
2023,մարդ,,,18
2023,մարդ,տղամարդ,,8
2023,մարդ,կին,,10
2023,մարդ,,մինչև 6 ամսական,1
2023,մարդ,տղամարդ,մինչև 6 ամսական,0
2023,մարդ,կին,մինչև 6 ամսական,1
2023,մարդ,,6 ամսականից մինչև 1 տարեկան,2
2023,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,1
2023,մարդ,կին,6 ամսականից մինչև 1 տարեկան,1
2023,մարդ,,1-5 տարեկան,5
2023,մարդ,տղամարդ,1-5 տարեկան,1
2023,մարդ,կին,1-5 տարեկան,4
2023,մարդ,,6-9 տարեկան,4
2023,մարդ,տղամարդ,6-9 տարեկան,4
2023,մարդ,կին,6-9 տարեկան,0
2023,մարդ,,10-15 տարեկան,3
2023,մարդ,տղամարդ,10-15 տարեկան,2
2023,մարդ,կին,10-15 տարեկան,1
2023,մարդ,,16-17 տարեկան,3
2023,մարդ,տղամարդ,16-17 տարեկան,0
2023,մարդ,կին,16-17 տարեկան,3
