Year,тип права,Пол,Units,Value
2023,Собственность,мужчина,случай,65981
2023,Общая совместная собственность,мужчина,случай,19670
2023,Общая долевая собственность,мужчина,случай,43443
2023,Аренда,мужчина,случай,3368
2023,Поднаем,мужчина,случай,40
2023,Залог,мужчина,случай,166
2023,Права на застройку  земельного участка,мужчина,случай,443
2023,Безвозмездное пользование,мужчина,случай,87
2023,Пользование жилым помещением,мужчина,случай,2
2023,Сервитут,мужчина,случай,65
2023,Доверительное управление,мужчина,случай,5
2023,Right of constructor or unauthorised buidlings,мужчина,случай,2971
2023,Использование,мужчина,случай,12
2023,Право покупки возводимого недвижимого имущества,мужчина,случай,14335
2023,Лизинг,мужчина,случай,1
2023,Use of unauthorised,мужчина,случай,7783
2024,Собственность,мужчина,случай,72972
2024,Общая совместная собственность,мужчина,случай,16058
2024,Общая долевая собственность,мужчина,случай,52621
2024,Аренда,мужчина,случай,3710
2024,Поднаем,мужчина,случай,391
2024,Залог,мужчина,случай,167
2024,Права на застройку  земельного участка,мужчина,случай,433
2024,Безвозмездное пользование,мужчина,случай,98
2024,Пользование жилым помещением,мужчина,случай,2
2024,Сервитут,мужчина,случай,36
2024,Доверительное управление,мужчина,случай,3
2024,Right of constructor or unauthorised buidlings,мужчина,случай,2848
2024,Использование,мужчина,случай,11
2024,Право покупки возводимого недвижимого имущества,мужчина,случай,19556
2024,Use of unauthorised,мужчина,случай,1693
2015,Собственность,женщина,случай,9514
2015,Общая совместная собственность,женщина,случай,5116
2015,Общая долевая собственность,женщина,случай,8355
2015,Аренда,женщина,случай,346
2015,Поднаем,женщина,случай,3
2015,Залог,женщина,случай,7
2015,Права на застройку  земельного участка,женщина,случай,117
2015,Безвозмездное пользование,женщина,случай,16
2015,Пользование жилым помещением,женщина,случай,3
2015,Сервитут,женщина,случай,6
2015,Right of constructor or unauthorised buidlings,женщина,случай,250
2015,Использование,женщина,случай,4
2015,Право покупки возводимого недвижимого имущества,женщина,случай,1
2016,Собственность,женщина,случай,10144
2016,Общая совместная собственность,женщина,случай,5636
2016,Общая долевая собственность,женщина,случай,8655
2016,Аренда,женщина,случай,381
2016,Поднаем,женщина,случай,4
2016,Залог,женщина,случай,11
2016,Права на застройку  земельного участка,женщина,случай,121
2016,Безвозмездное пользование,женщина,случай,22
2016,Пользование жилым помещением,женщина,случай,2
2016,Сервитут,женщина,случай,2
2016,Right of constructor or unauthorised buidlings,женщина,случай,296
2016,Использование,женщина,случай,1
2016,Право покупки возводимого недвижимого имущества,женщина,случай,109
2016,Use of unauthorised,женщина,случай,1
2017,Собственность,женщина,случай,11435
2017,Общая совместная собственность,женщина,случай,5837
2017,Общая долевая собственность,женщина,случай,9784
2017,Аренда,женщина,случай,588
2017,Поднаем,женщина,случай,7
2017,Залог,женщина,случай,8
2017,Права на застройку  земельного участка,женщина,случай,131
