Year,Units,Գտնվելու վայրը,Value
2015,%,,98.1
2015,%,քաղաք,98.9
2015,%,գյուղ,97.0
2023,%,,98.9
2023,%,քաղաք,100.0
2023,%,գյուղ,97.2
