Year,Units,Value
2015,млн. долл. США,173.5
2016,млн. долл. США,142.6
2017,млн. долл. США,177.7
2018,млн. долл. США,195.0
2019,млн. долл. США,-38.8
2020,млн. долл. США,-88.3
2021,млн. долл. США,255.2
2022,млн. долл. США,417.3
2023,млн. долл. США,644.5
