Year,Units,Սեռ,Value
2015,%,,51.4
2016,%,,52.4
2017,%,,56.4
2018,%,,58.4
2019,%,,61.3
2020,%,,43.5
2015,%,արական,48.9
2016,%,արական,50.0
2017,%,արական,54.5
2018,%,արական,56.5
2019,%,արական,59.9
2020,%,արական,42.6
2015,%,իգական,54.2
2016,%,իգական,55.2
2017,%,իգական,58.5
2018,%,իգական,60.5
2019,%,իգական,62.8
2020,%,իգական,44.5
