Year,Ցուցանիշ,Units,Value
2015,,մարդ,18
2016,,մարդ,18
2017,,մարդ,17
2018,,մարդ,17
2019,,մարդ,17
2020,,մարդ,16
2021,,մարդ,11
2022,,մարդ,14
2023,,մարդ,30
