Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-3-1-a,3
#1-4-1,7
#11-1-1,1
#11-1-1-a,1
#16-6-2,10
#3-7-2,2
#3-7-2-a,1
#3-8-2,2
#5-5-2,1
#5-a-1-a-a,1
#5-b-1-a,1
#6-1-1,1
#6-1-1-a,1
#6-2-1,1
#6-2-1-a,1
#6-2-1-b,1
#7-1-1,1
#7-1-2,1
#8-3-1,1
#8-5-2,1
#8-6-1,1
#8-7-1,2
#9-2-2,1
