Value,Disaggregation combinations using this value,Number of indicators
Egypt,1,1
Haiti,1,1
Iran,1,1
Iraq,1,1
Lebanon,1,1
Nigeria,1,1
Other countries,1,1
Russia,1,1
Syrian Arab Republic,1,1
Total,1,1
Turkiye,1,1
Ukraine,1,1
