Value,Disaggregation combinations using this value,Number of indicators
isco08-1,3,1
isco08-2,3,1
isco08-3,3,1
isco08-4,3,1
isco08-5,3,1
isco08-6,3,1
isco08-7,3,1
isco08-8,3,1
isco08-9,3,1
total,3,1
