Value,Disaggregation combinations using this value,Number of indicators
"Convention for the Protection of the Ozone Layer  (Vienna, 1985)",1,1
"Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal (Basel, 1989)",1,1
"Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade (Rotterdam, 1998)",1,1
"Minamata Convention on Mercury (Kumamoto, 2013)",1,1
"Stockholm Convention on Persistent Organic Pollutants (Stockholm, 2001)",1,1
"UNECE Convention on Long-range Transboundary Air Pollution (Geneva, 1979)",1,1
"UNECE Convention on the Transboundary Effects of Industrial Accidents (Helsinki, 1992)",1,1
