Year,Units,Տեսակ,Value
2015,մարդ,,100
2015,մարդ,արական,50
2015,մարդ,իգական,50
2016,մարդ,,100
2016,մարդ,արական,45
2016,մարդ,իգական,55
2017,մարդ,,100
2017,մարդ,արական,55
2017,մարդ,իգական,45
