Year,Value,Units
2015,19.3,"100,000  բնակչի հաշվով"
2016,17.4,"100,000  բնակչի հաշվով"
2017,23.9,"100,000  բնակչի հաշվով"
2018,19.2,"100,000  բնակչի հաշվով"
2019,16.4,"100,000  բնակչի հաշվով"
2020,13.1,"100,000  բնակչի հաշվով"
