Year,Value,Units
2015,21.6,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2016,21.9,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2017,22.1,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2018,22.7,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2019,23.3,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2020,23.6,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2021,23.4,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2022,23.4,"Բանկերի մասնաճյուղեր՝ 100,000 չափահասի հաշվով"
2015,58.8,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2016,58.6,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2017,61.1,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2018,64.9,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2019,67.9,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2020,67.8,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2021,70.5,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
2022,69.6,"ԱԳՄ-ներ՝ 100,000 չափահասի հաշվով"
