Year,Value,Units,Series
2015,13,թվաքանակ,Number of local breeds with unknown risk status
2016,13,թվաքանակ,Number of local breeds with unknown risk status
2017,13,թվաքանակ,Number of local breeds with unknown risk status
2018,13,թվաքանակ,Number of local breeds with unknown risk status
2019,13,թվաքանակ,Number of local breeds with unknown risk status
2020,13,թվաքանակ,Number of local breeds with unknown risk status
2021,13,թվաքանակ,Number of local breeds with unknown risk status
2022,13,թվաքանակ,Number of local breeds with unknown risk status
2023,13,թվաքանակ,Number of local breeds with unknown risk status
2024,13,թվաքանակ,Number of local breeds with unknown risk status
2025,13,թվաքանակ,Number of local breeds with unknown risk status
2015,13,թվաքանակ,Number of local breeds (not extinct)
2016,13,թվաքանակ,Number of local breeds (not extinct)
2017,13,թվաքանակ,Number of local breeds (not extinct)
2018,13,թվաքանակ,Number of local breeds (not extinct)
2019,13,թվաքանակ,Number of local breeds (not extinct)
2020,13,թվաքանակ,Number of local breeds (not extinct)
2021,13,թվաքանակ,Number of local breeds (not extinct)
2022,13,թվաքանակ,Number of local breeds (not extinct)
2023,13,թվաքանակ,Number of local breeds (not extinct)
2024,13,թվաքանակ,Number of local breeds (not extinct)
2025,13,թվաքանակ,Number of local breeds (not extinct)
2015,24,թվաքանակ,Number of transboundary breeds (not extinct)
2016,24,թվաքանակ,Number of transboundary breeds (not extinct)
2017,24,թվաքանակ,Number of transboundary breeds (not extinct)
2018,24,թվաքանակ,Number of transboundary breeds (not extinct)
2019,24,թվաքանակ,Number of transboundary breeds (not extinct)
2020,24,թվաքանակ,Number of transboundary breeds (not extinct)
2021,24,թվաքանակ,Number of transboundary breeds (not extinct)
2022,24,թվաքանակ,Number of transboundary breeds (not extinct)
2023,24,թվաքանակ,Number of transboundary breeds (not extinct)
2024,24,թվաքանակ,Number of transboundary breeds (not extinct)
2025,24,թվաքանակ,Number of transboundary breeds (not extinct)
2015,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2016,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2017,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2018,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2019,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2020,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2021,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2022,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2023,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2024,24,թվաքանակ,Number of transboundary breeds with unknown risk status
2025,24,թվաքանակ,Number of transboundary breeds with unknown risk status
