Year,Value,Units
2015,43.33,մլն. ԱՄՆ դոլար
2016,38.13,մլն. ԱՄՆ դոլար
2017,91.09,մլն. ԱՄՆ դոլար
2018,71.29,մլն. ԱՄՆ դոլար
2019,7.03,մլն. ԱՄՆ դոլար
2020,12.6,մլն. ԱՄՆ դոլար
2021,19.01,մլն. ԱՄՆ դոլար
2022,23.64,մլն. ԱՄՆ դոլար
2023,23.38,մլն. ԱՄՆ դոլար
