Year,Value,Units
2013,5.2,միլիոն ԱՄՆ դոլար
2014,4.6,միլիոն ԱՄՆ դոլար
2015,3.8,միլիոն ԱՄՆ դոլար
2016,3.7,միլիոն ԱՄՆ դոլար
2017,6.6,միլիոն ԱՄՆ դոլար
2018,4.9,միլիոն ԱՄՆ դոլար
2019,5.8,միլիոն ԱՄՆ դոլար
2020,4.5,միլիոն ԱՄՆ դոլար
2021,4.3,միլիոն ԱՄՆ դոլար
2022,4.4,միլիոն ԱՄՆ դոլար
