Year,Value,Units,Series
2010,19729128.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2011,17601676.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2012,18501042.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2013,24104887.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2014,22295597.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2015,17474495.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2016,23322041.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2017,29123447.3,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2018,32180263.7,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2019,47427293.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2020,30338376.1,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2021,34883781.8,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2022,102063223.8,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2023,128675175.4,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2024,110363475.7,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը
2010,229483676.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2011,174337163.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2012,177370787.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2013,238356795.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2014,240982150.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2015,161357732.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2016,165319783.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2017,216430808.2,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2018,291616633.7,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2019,284135254.4,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2020,343301048.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2021,344367925.1,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2022,367618683.5,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2023,426809065.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2024,450667538.1,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը
2010,3114851.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2011,5384076.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2012,4630692.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2013,4046070.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2014,4794390.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2015,3395509.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2016,2199306.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2017,4679074.3,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2018,2837749.1,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2019,2850361.8,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2020,1749894.2,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2021,1658273.7,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2022,729844.4,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2023,495557.1,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաարտահանման ծավալը
2010,25144.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2011,2621749.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2012,83213.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2013,108597.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2014,71817.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2015,190552.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2016,133646.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2017,148203.5,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2018,600072.5,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2019,34599.5,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2020,39522.8,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2021,207811.7,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2022,323695.2,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2023,147103.4,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների վերաներմուծման ծավալը
2010,252352799.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2011,199944664.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2012,200585734.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2013,266616349.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2014,268143954.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2015,182418288.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2016,190974776.0,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2017,250381533.3,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2018,327234718.9,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2019,334447508.8,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2020,375428841.1,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2021,381117792.3,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2022,470735446.9,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2023,556126900.9,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
2024,561031013.7,ԱՄՆ դոլար,էկոլոգիապես մաքուր տեխնոլոգիաների առևտրի ընդհանուր ծավալը
