Year,Value,Units
2015,0.06,"1,000 չվարակված բնակչի հաշվով"
2016,0.06,"1,000 չվարակված բնակչի հաշվով"
2017,0.06,"1,000 չվարակված բնակչի հաշվով"
2018,0.14,"1,000 չվարակված բնակչի հաշվով"
2019,0.15,"1,000 չվարակված բնակչի հաշվով"
2020,0.12,"1,000 չվարակված բնակչի հաշվով"
2021,0.14,"1,000 չվարակված բնակչի հաշվով"
2022,0.18,"1,000 չվարակված բնակչի հաշվով"
2023,0.17,"1,000 չվարակված բնակչի հաշվով"
2024,0.18,"1,000 չվարակված բնակչի հաշվով"
