Year,Value,Units
2015,8.65,մոլ- H - իոն/լիտր
2016,8.49,մոլ- H - իոն/լիտր
2017,8.77,մոլ- H - իոն/լիտր
2018,8.74,մոլ- H - իոն/լիտր
2019,8.54,մոլ- H - իոն/լիտր
2020,8.74,մոլ- H - իոն/լիտր
2021,8.48,մոլ- H - իոն/լիտր
2022,8.47,մոլ- H - իոն/լիտր
2023,8.62,մոլ- H - իոն/լիտր
2024,8.71,մոլ- H - իոն/լիտր
