Year,Value,Units
2015,469.0,մարդ
2016,478.0,մարդ
2017,474.0,մարդ
2018,363.0,մարդ
2019,351.0,մարդ
2020,367.0,մարդ
2021,499.0,մարդ
2022,528.0,մարդ
2023,492.0,մարդ
2023,5.77,%
