Year,Units,Տեսակ,Value
2015,%,ՀՆԱ-ի համամասնությունը,9.2
2016,%,ՀՆԱ-ի համամասնությունը,10.3
2017,%,ՀՆԱ-ի համամասնությունը,10.2
2015,դրամ,մեկ շնչի հաշվով,154538.0
2016,դրամ,մեկ շնչի հաշվով,174165.0
2017,դրամ,մեկ շնչի հաշվով,191259.0
