Year,Units,Пол,Value
2017,%,,68.2
2017,%,мужчина,65.0
2017,%,женщина,71.2
2018,%,,71.5
2018,%,мужчина,67.2
2018,%,женщина,75.3
2019,%,,77.9
2019,%,мужчина,75.2
2019,%,женщина,80.4
2020,%,,80.7
2020,%,мужчина,78.0
2020,%,женщина,83.2
