Year,Units,Կատեգորիա,Value
2015,%,,85.7
2015,%,միայնակ,7.7
2015,%,մեկ ուրիշի հետ համատեղ,26.6
2015,%,միայնակ և մեկ ուրիշի հետ համատեղ,0.5
