Year,Units,Value
2015,ԱՄՆ դոլար/խորանարդ մետր,2.55
2016,ԱՄՆ դոլար/խորանարդ մետր,2.666
2017,ԱՄՆ դոլար/խորանարդ մետր,3.217
2018,ԱՄՆ դոլար/խորանարդ մետր,3.657
2019,ԱՄՆ դոլար/խորանարդ մետր,3.665
2020,ԱՄՆ դոլար/խորանարդ մետր,3.505
2021,ԱՄՆ դոլար/խորանարդ մետր,3.86
2022,ԱՄՆ դոլար/խորանարդ մետր,4.23
2023,ԱՄՆ դոլար/խորանարդ մետր,4.52
