Year,Units,Value
2015,վատտ,429.11
2016,վատտ,439.29
2017,վատտ,447.76
2018,վատտ,457.15
2019,վատտ,468.22
2020,վատտ,488.89
2021,վատտ,518.09
2022,վատտ,593.52
2023,վատտ,620.46
2024,վատտ,674.06
