Year,Ցուցանիշ,Units,Value
2000,Լեռնային կանաչ ծածկույթի ինդեքս,%,95.05
2005,Լեռնային կանաչ ծածկույթի ինդեքս,%,94.66
2010,Լեռնային կանաչ ծածկույթի ինդեքս,%,94.53
2015,Լեռնային կանաչ ծածկույթի ինդեքս,%,94.33
2018,Լեռնային կանաչ ծածկույթի ինդեքս,%,94.13
2021,Լեռնային կանաչ ծածկույթի ինդեքս,%,94.0
2015,Լեռնային դեգրադացված հողերի համամասնությունը,%,3.4
2021,Լեռնային դեգրադացված հողերի համամասնությունը,%,5.4
