Year,Units,Կատեգորիա,Value
2020,հարցման ինդեքս,ա) ազգային կրթության քաղաքականության մեջ,0.875
2020,հարցման ինդեքս,բ) կրթության չափորոշչում,0.7005
2020,հարցման ինդեքս,գ) ուսուցիչների վերապատրաստման ծրագրերում,0.85
2020,հարցման ինդեքս,դ) աշակերտների գնահատման մեջ,0.8333
