Year,Group,Value
2019,Pre-primary,75.9
2020,Pre-primary,75.1
2021,Pre-primary,74.7
2022,Pre-primary,72.9
2023,Pre-primary,74.3
2019,Տարրական,73.6
2020,Տարրական,75.1
2021,Տարրական,73.9
2022,Տարրական,81.3
2023,Տարրական,84.1
2019,Միջին,73.6
2020,Միջին,75.1
2021,Միջին,73.8
2022,Միջին,81.3
2023,Միջին,84.1
2019,Ավագ,75.4
2020,Ավագ,77.1
2021,Ավագ,76.0
2022,Ավագ,83.0
2023,Ավագ,85.8
