Year,Units,Series,Value
2015,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),414.6688
2016,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),337.0788
2017,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),333.3499
2018,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),265.0118
2019,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),318.1041
2020,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),280.111
2021,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),379.7455
2022,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),445.7581
2023,միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ,Ենթակառուցվածքների համար ընդհանուր պաշտոնական հոսքերը՝ ըստ ստացող երկրների (միլիոնավոր հաստատուն 2023 թվականի ԱՄՆ դոլարներ),167.8277
