Year,Units,Սեռ,Value
2015,մարդ,,45
2016,մարդ,,59
2017,մարդ,,57
2018,մարդ,,42
2019,մարդ,,27
2020,մարդ,,24
2015,մարդ,տղամարդ,38
2016,մարդ,տղամարդ,53
2017,մարդ,տղամարդ,56
2018,մարդ,տղամարդ,39
2019,մարդ,տղամարդ,25
2020,մարդ,տղամարդ,21
2015,մարդ,կին,7
2016,մարդ,կին,6
2017,մարդ,կին,1
2018,մարդ,կին,3
2019,մարդ,կին,2
2020,մարդ,կին,3
