Year,Name,Units,Value
1993,a1. Convention on Biological Diversity (CBD),"այո=1, ոչ=0",1
2010,a2. Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020,"այո=1, ոչ=0",1
2015,b. SEEA Water accounts,"այո=1, ոչ=0",1
