Year,Units,Սեռ,Տարիք,Տեսակ,Value
2016,%,արական,10-15 տարեկան,,0.12
2017,%,արական,10-15 տարեկան,,0.11
2018,%,արական,10-15 տարեկան,,0.09
2019,%,արական,10-15 տարեկան,,0.09
2020,%,արական,10-15 տարեկան,,0.09
2015,%,իգական,10-15 տարեկան,,0.11
2016,%,իգական,10-15 տարեկան,,0.1
2017,%,իգական,10-15 տարեկան,,0.09
2018,%,իգական,10-15 տարեկան,,0.08
2019,%,իգական,10-15 տարեկան,,0.08
2020,%,իգական,10-15 տարեկան,,0.08
2015,%,,16-17 տարեկան,,0.29
2016,%,,16-17 տարեկան,,0.26
2017,%,,16-17 տարեկան,,0.3
2018,%,,16-17 տարեկան,,0.36
2019,%,,16-17 տարեկան,,0.3
2020,%,,16-17 տարեկան,,0.35
2015,%,արական,16-17 տարեկան,,0.27
2016,%,արական,16-17 տարեկան,,0.25
2017,%,արական,16-17 տարեկան,,0.26
2018,%,արական,16-17 տարեկան,,0.33
2019,%,արական,16-17 տարեկան,,0.29
2020,%,արական,16-17 տարեկան,,0.34
2015,%,իգական,16-17 տարեկան,,0.31
2016,%,իգական,16-17 տարեկան,,0.28
2017,%,իգական,16-17 տարեկան,,0.34
2018,%,իգական,16-17 տարեկան,,0.39
2019,%,իգական,16-17 տարեկան,,0.3
2020,%,իգական,16-17 տարեկան,,0.35
