Year,Units,Value
2015,"1,000 տոննա",579.9
2016,"1,000 տոննա",523.4
2017,"1,000 տոննա",499.0
2018,"1,000 տոննա",363.0
2019,"1,000 տոննա",273.8
2020,"1,000 տոննա",260.0
