Year,Series,Units,Value
2015,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,47.3
2016,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,52.2
2017,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,72.5
2018,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,69.7
2019,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,49.0
2020,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,23.3
2021,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,26.5
2022,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,13.0
2023,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,28.8
2024,Ոչ բավարար մաքրված կեղտաջրերի համամասնությունը մաքրման ենթակա ընդհանուր կեղտաջրերի նկատմամբ,%,30.2
2020,Ընդհանուր արտադրված կեղտաջրեր,միլիոն մ³/տարեկան,777.1
2021,Ընդհանուր արտադրված կեղտաջրեր,միլիոն մ³/տարեկան,802.6
2022,Ընդհանուր արտադրված կեղտաջրեր,միլիոն մ³/տարեկան,888.3
2023,Ընդհանուր արտադրված կեղտաջրեր,միլիոն մ³/տարեկան,721.9
2024,Ընդհանուր արտադրված կեղտաջրեր,միլիոն մ³/տարեկան,815.2
