Year,Units,Value
2015,"այո=1, ոչ=0",1.0
2016,"այո=1, ոչ=0",1.0
2017,"այո=1, ոչ=0",1.0
2018,"այո=1, ոչ=0",1.0
2019,"այո=1, ոչ=0",1.0
2020,"այո=1, ոչ=0",1.0
2021,"այո=1, ոչ=0",1.0
2022,"այո=1, ոչ=0",1.0
2023,"այո=1, ոչ=0",1.0
2024,"այո=1, ոչ=0",1.0
