Year,Units,Սեռ,Value
2015,%,,78.82
2016,%,,78.22
2017,%,,77.2
2018,%,,76.98
2019,%,,75.95
2020,%,,75.04
2015,%,արական,72.82
2016,%,արական,72.7
2017,%,արական,72.06
2018,%,արական,72.38
2019,%,արական,71.91
2020,%,արական,71.59
2015,%,իգական,82.85
2016,%,իգական,81.91
2017,%,իգական,80.62
2018,%,իգական,80.05
2019,%,իգական,78.63
2020,%,իգական,77.31
